Emotions,Path
Neutral,Datasets\ESD\0016\Neutral\0016_000105.wav
Happiness,Datasets\ESD\0014\Happy\0014_000746.wav
Sadness,Datasets\ESD\0018\Sad\0018_001254.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000270.wav
Sadness,Datasets\CREMA-D\1072_IEO_SAD_HI.wav
Happiness,Datasets\ESD\0017\Happy\0017_001028.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001653.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_jug_sad.wav
Happiness,Datasets\ESD\0020\Happy\0020_000952.wav
Neutral,Datasets\SAVEE\JK\n04.wav
Neutral,Datasets\RAVDESS\Actor_05\03-01-02-01-02-01-05.wav
Anger,Datasets\ESD\0017\Angry\0017_000551.wav
Sadness,Datasets\ESD\0018\Sad\0018_001143.wav
Disgust,Datasets\CREMA-D\1061_IOM_DIS_XX.wav
Sadness,Datasets\ESD\0013\Sad\0013_001070.wav
Fear,Datasets\CREMA-D\1038_WSI_FEA_XX.wav
Fear,Datasets\TESS\YAF_fear\YAF_keep_fear.wav
Neutral,Datasets\CREMA-D\1001_ITS_NEU_XX.wav
Sadness,Datasets\CREMA-D\1059_IOM_SAD_XX.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000243.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000066.wav
Happiness,Datasets\ESD\0013\Happy\0013_000995.wav
Sadness,Datasets\CREMA-D\1081_ITH_SAD_XX.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_came_ps.wav
Sadness,Datasets\ESD\0019\Sad\0019_001182.wav
Sadness,Datasets\ESD\0013\Sad\0013_001171.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_room_ps.wav
Anger,Datasets\JL\male2_angry_7a_2.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-19-60-02-02-02-13-04.wav
Anger,Datasets\CREMA-D\1066_DFA_ANG_XX.wav
Fear,Datasets\CREMA-D\1013_ITH_FEA_XX.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-12-69-02-02-02.wav
Anger,Datasets\ESD\0015\Angry\0015_000573.wav
Fear,Datasets\CREMA-D\1080_IOM_FEA_XX.wav
Happiness,Datasets\CREMA-D\1030_IEO_HAP_LO.wav
Sadness,Datasets\ESD\0013\Sad\0013_001187.wav
Happiness,Datasets\ESD\0020\Happy\0020_000844.wav
Anger,Datasets\CREMA-D\1018_IOM_ANG_XX.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001736.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-27-55-02-02-02-05.wav
Disgust,Datasets\CREMA-D\1046_ITS_DIS_XX.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_rough_disgust.wav
Anger,Datasets\ESD\0019\Angry\0019_000659.wav
Neutral,Datasets\JL\female1_neutral_1a_1.wav
Happiness,Datasets\ESD\0017\Happy\0017_000982.wav
Happiness,Datasets\RAVDESS\Actor_14\03-01-03-01-02-01-14.wav
Sadness,Datasets\ASVP\ASVP3\03-01-04-01-01-101-03-01-00-14.wav
Disgust,Datasets\CREMA-D\1023_TSI_DIS_XX.wav
Sadness,Datasets\ESD\0014\Sad\0014_001069.wav
Anger,Datasets\ESD\0012\Angry\0012_000524.wav
Happiness,Datasets\RAVDESS-SONG\Actor_11\03-02-03-02-02-02-11.wav
Fear,Datasets\CREMA-D\1084_IOM_FEA_XX.wav
Happiness,Datasets\TESS\YAF_happy\YAF_red_happy.wav
Anger,Datasets\CREMA-D\1058_ITS_ANG_XX.wav
Sadness,Datasets\RAVDESS\Actor_16\03-01-04-02-01-01-16.wav
Sadness,Datasets\ESD\0015\Sad\0015_001359.wav
Anger,Datasets\ESD\0014\Angry\0014_000437.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001666.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000338.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001612.wav
Happiness,Datasets\RAVDESS\Actor_15\03-01-03-01-02-02-15.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001668.wav
Sadness,Datasets\SAVEE\KL\sa08.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-02-28-02-02-02.wav
Anger,Datasets\CREMA-D\1091_TIE_ANG_XX.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_kick_disgust.wav
Happiness,Datasets\ESD\0018\Happy\0018_000885.wav
Happiness,Datasets\CREMA-D\1081_ITH_HAP_XX.wav
Happiness,Datasets\ESD\0014\Happy\0014_000806.wav
Sadness,Datasets\CREMA-D\1003_IEO_SAD_MD.wav
Anger,Datasets\TESS\YAF_angry\YAF_choice_angry.wav
Happiness,Datasets\ESD\0013\Happy\0013_001038.wav
Happiness,Datasets\CREMA-D\1083_ITS_HAP_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000258.wav
Sadness,Datasets\ESD\0015\Sad\0015_001261.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001706.wav
Neutral,Datasets\JL\female1_neutral_14b_2.wav
Anger,Datasets\ESD\0011\Angry\0011_000383.wav
Sadness,Datasets\CREMA-D\1008_IOM_SAD_XX.wav
Anger,Datasets\CREMA-D\1044_ITH_ANG_XX.wav
Sadness,Datasets\ESD\0013\Sad\0013_001332.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-82-61-02-02-02-12-01.wav
Anger,Datasets\CREMA-D\1069_IWL_ANG_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000117.wav
Neutral,Datasets\JL\male1_neutral_13b_2.wav
Sadness,Datasets\CREMA-D\1039_IEO_SAD_LO.wav
Anger,Datasets\ASVP\ASVP6\03-01-05-02-12-20-02-02-02-04.wav
Anger,Datasets\RAVDESS-SONG\Actor_06\03-02-05-01-01-02-06.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_goal_neutral.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001670.wav
Happiness,Datasets\ESD\0012\Happy\0012_001032.wav
Happiness,Datasets\ESD\0015\Happy\0015_000972.wav
Anger,Datasets\ESD\0018\Angry\0018_000380.wav
Happiness,Datasets\ESD\0020\Happy\0020_000954.wav
Disgust,Datasets\CREMA-D\1062_IOM_DIS_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000096.wav
Disgust,Datasets\CREMA-D\1012_IEO_DIS_MD.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-39-107-04-02-02-01.wav
Anger,Datasets\ESD\0020\Angry\0020_000546.wav
Happiness,Datasets\ESD\0014\Happy\0014_001031.wav
Happiness,Datasets\RAVDESS-SONG\Actor_24\03-02-03-02-01-02-24.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000188.wav
Anger,Datasets\ESD\0015\Angry\0015_000388.wav
Sadness,Datasets\ESD\0017\Sad\0017_001202.wav
Disgust,Datasets\RAVDESS\Actor_16\03-01-07-01-01-02-16.wav
Happiness,Datasets\ESD\0011\Happy\0011_001039.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001532.wav
Sadness,Datasets\ESD\0020\Sad\0020_001158.wav
Sadness,Datasets\TESS\YAF_sad\YAF_dead_sad.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000046.wav
Happiness,Datasets\CREMA-D\1060_ITS_HAP_XX.wav
Sadness,Datasets\CREMA-D\1084_TSI_SAD_XX.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-17-62-02-02-02-05.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000306.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000254.wav
Anger,Datasets\TESS\OAF_angry\OAF_bite_angry.wav
Fear,Datasets\CREMA-D\1002_IWL_FEA_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000281.wav
Neutral,Datasets\RAVDESS-SONG\Actor_08\03-02-02-02-02-02-08.wav
Sadness,Datasets\ESD\0016\Sad\0016_001226.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001708.wav
Sadness,Datasets\ESD\0015\Sad\0015_001245.wav
Anger,Datasets\ESD\0014\Angry\0014_000689.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000100.wav
Neutral,Datasets\CREMA-D\1074_IWW_NEU_XX.wav
Anger,Datasets\CREMA-D\1009_DFA_ANG_XX.wav
Anger,Datasets\ESD\0011\Angry\0011_000396.wav
Happiness,Datasets\ESD\0011\Happy\0011_000723.wav
Anger,Datasets\JL\male2_angry_2a_2.wav
Happiness,Datasets\CREMA-D\1033_TSI_HAP_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000577.wav
Anger,Datasets\ESD\0015\Angry\0015_000575.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001518.wav
Fear,Datasets\CREMA-D\1041_IWL_FEA_XX.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000126.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000110.wav
Neutral,Datasets\RAVDESS-SONG\Actor_23\03-02-01-01-02-02-23.wav
Happiness,Datasets\ESD\0017\Happy\0017_001048.wav
Happiness,Datasets\ESD\0016\Happy\0016_000929.wav
Anger,Datasets\ESD\0019\Angry\0019_000668.wav
Happiness,Datasets\ESD\0011\Happy\0011_000904.wav
Disgust,Datasets\RAVDESS\Actor_11\03-01-07-01-02-02-11.wav
Sadness,Datasets\CREMA-D\1070_MTI_SAD_XX.wav
Happiness,Datasets\ESD\0019\Happy\0019_000761.wav
Happiness,Datasets\ESD\0020\Happy\0020_000956.wav
Sadness,Datasets\CREMA-D\1075_DFA_SAD_XX.wav
Happiness,Datasets\ESD\0019\Happy\0019_000861.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000093.wav
Happiness,Datasets\RAVDESS\Actor_09\03-01-03-01-02-01-09.wav
Happiness,Datasets\CREMA-D\1001_IEO_HAP_HI.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-04-60-02-02-02-15-29.wav
Anger,Datasets\ESD\0015\Angry\0015_000546.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001669.wav
Fear,Datasets\CREMA-D\1044_IOM_FEA_XX.wav
Sadness,Datasets\ESD\0013\Sad\0013_001345.wav
Anger,Datasets\ESD\0018\Angry\0018_000393.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000162.wav
Happiness,Datasets\ESD\0011\Happy\0011_000856.wav
Anger,Datasets\ESD\0013\Angry\0013_000590.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_rot_neutral.wav
Neutral,Datasets\SAVEE\JK\n21.wav
Neutral,Datasets\CREMA-D\1073_TSI_NEU_XX.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-01-99-02-02-02-02.wav
Anger,Datasets\ESD\0015\Angry\0015_000468.wav
Disgust,Datasets\CREMA-D\1036_TSI_DIS_XX.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001564.wav
Anger,Datasets\RAVDESS-SONG\Actor_22\03-02-05-02-02-02-22.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_mop_disgust.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-30-53-02-02-02.wav
Sadness,Datasets\ESD\0011\Sad\0011_001338.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001670.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_keen_disgust.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001552.wav
Surprise,Datasets\RAVDESS\Actor_04\03-01-08-02-02-01-04.wav
Happiness,Datasets\ESD\0014\Happy\0014_000775.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001548.wav
Sadness,Datasets\ESD\0012\Sad\0012_001225.wav
Sadness,Datasets\ESD\0018\Sad\0018_001322.wav
Happiness,Datasets\ESD\0019\Happy\0019_000885.wav
Sadness,Datasets\ESD\0014\Sad\0014_001355.wav
Anger,Datasets\ESD\0015\Angry\0015_000361.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001652.wav
Sadness,Datasets\ESD\0017\Sad\0017_001092.wav
Happiness,Datasets\ESD\0016\Happy\0016_001030.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_wash_neutral.wav
Anger,Datasets\CREMA-D\1051_TIE_ANG_XX.wav
Happiness,Datasets\CREMA-D\1025_IWL_HAP_XX.wav
Anger,Datasets\ESD\0017\Angry\0017_000576.wav
Fear,Datasets\CREMA-D\1041_TAI_FEA_XX.wav
Happiness,Datasets\ESD\0018\Happy\0018_001000.wav
Neutral,Datasets\TESS\YAF_neutral\YAF_tire_neutral.wav
Sadness,Datasets\ESD\0018\Sad\0018_001075.wav
Anger,Datasets\ESD\0014\Angry\0014_000405.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_voice_disgust.wav
Disgust,Datasets\CREMA-D\1075_TAI_DIS_XX.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000168.wav
Happiness,Datasets\ESD\0017\Happy\0017_000925.wav
Happiness,Datasets\RAVDESS-SONG\Actor_12\03-02-03-01-02-02-12.wav
Sadness,Datasets\TESS\YAF_sad\YAF_when_sad.wav
Sadness,Datasets\ASVP\ASVP5\03-01-04-01-26-62-02-02-02.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000132.wav
Neutral,Datasets\CREMA-D\1062_TIE_NEU_XX.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001436.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001664.wav
Fear,Datasets\RAVDESS-SONG\Actor_08\03-02-06-02-01-01-08.wav
Anger,Datasets\CREMA-D\1042_TAI_ANG_XX.wav
Disgust,Datasets\CREMA-D\1091_DFA_DIS_XX.wav
Fear,Datasets\CREMA-D\1020_IOM_FEA_XX.wav
Sadness,Datasets\CREMA-D\1091_TIE_SAD_XX.wav
Anger,Datasets\ESD\0014\Angry\0014_000595.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_raid_sad.wav
Anger,Datasets\CREMA-D\1048_ITH_ANG_XX.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001570.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001420.wav
Fear,Datasets\CREMA-D\1085_IEO_FEA_LO.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000107.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000171.wav
Anger,Datasets\TESS\OAF_angry\OAF_turn_angry.wav
Anger,Datasets\CREMA-D\1051_WSI_ANG_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000023.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000129.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_bought_disgust.wav
Anger,Datasets\ESD\0019\Angry\0019_000375.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000326.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001607.wav
Happiness,Datasets\ESD\0013\Happy\0013_000838.wav
Happiness,Datasets\CREMA-D\1002_ITH_HAP_XX.wav
Anger,Datasets\ESD\0012\Angry\0012_000449.wav
Fear,Datasets\CREMA-D\1076_IWL_FEA_XX.wav
Neutral,Datasets\TESS\YAF_neutral\YAF_lid_neutral.wav
Fear,Datasets\TESS\YAF_fear\YAF_ripe_fear.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001642.wav
Sadness,Datasets\CREMA-D\1041_ITS_SAD_XX.wav
Fear,Datasets\RAVDESS-SONG\Actor_09\03-02-06-01-02-02-09.wav
Neutral,Datasets\CREMA-D\1033_IWL_NEU_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000304.wav
Sadness,Datasets\ESD\0019\Sad\0019_001064.wav
Fear,Datasets\SAVEE\JK\f05.wav
Fear,Datasets\CREMA-D\1044_IEO_FEA_HI.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001577.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000157.wav
Anger,Datasets\RAVDESS-SONG\Actor_03\03-02-05-01-01-01-03.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001671.wav
Anger,Datasets\ESD\0013\Angry\0013_000615.wav
Happiness,Datasets\CREMA-D\1006_TAI_HAP_XX.wav
Sadness,Datasets\ESD\0016\Sad\0016_001224.wav
Anger,Datasets\ESD\0020\Angry\0020_000628.wav
Disgust,Datasets\CREMA-D\1041_IWL_DIS_XX.wav
Anger,Datasets\CREMA-D\1037_TAI_ANG_XX.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000329.wav
Anger,Datasets\ESD\0011\Angry\0011_000388.wav
Anger,Datasets\ESD\0017\Angry\0017_000527.wav
Disgust,Datasets\CREMA-D\1056_DFA_DIS_XX.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001487.wav
Neutral,Datasets\CREMA-D\1080_IOM_NEU_XX.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000332.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-29-60-02-02-02-03.wav
Sadness,Datasets\ESD\0017\Sad\0017_001142.wav
Anger,Datasets\ESD\0013\Angry\0013_000454.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001549.wav
Fear,Datasets\CREMA-D\1051_IEO_FEA_MD.wav
Happiness,Datasets\CREMA-D\1050_IWW_HAP_XX.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000124.wav
